,state,Service Jobs,Construction Jobs,Financial Jobs,Manufacturing Jobs,IT Jobs,B Camp Contr,Cook Partisan Index,Elasticity,National Poll Advantage,Avg Covid Cases,Avg Covid Deaths,Covid Cases Norm.,Covid Deaths Norm.,20 B Poll,16 B Poll ,12 B Poll ,Unemployment Rate,Population,Quart Wages ,Avg Week Wages,Home State Adv,Cost of Voting Index,High School diploma,4 year degree,Adv degree,Urbanization,religiousity,hispanic,white,black,asian,indian,18-25,26-34,35-54,55-64,65+,male,won
0,Alabama,19496.96641,2062.075995,3069.157584,730.324148,585.3096708,-0.48,-14,0.67,-19.6,72469.58996,1313.962343,0.01472500635,0.0002669823834,-19.6,-28.3,-22.2,3.9,4921532,17918953297,942,0,0.46,90,27.9,9.1,9.61,77,0.04,0.66,0.27,0.01,0.01,0.087,0.115,0.251,0.135,0.175,0.481,0
1,Alaska,3162.333162,611.6660503,337.064993,110.7938526,80.87026648,-0.54,-9,1.19,-4.5,3998.441667,23.675,0.005468642437,3.24E-05,-4.5,-15.2,-14,5.8,731158,3189884395,1146,0,0.34,79,29.4,10.4,8.74,45,0.07,0.61,0.03,0.07,0.14,0.093,0.139,0.246,0.132,0.13,0.507,0
3,Arkansas,15479.54356,1630.901328,2055.979011,329.64025,331.7502288,-0.46,-15,1.01,-19.7,37793.93776,563.9958506,0.0124710983,0.0001861051827,-19.7,-26.6,-23.7,4.2,3030522,11133774672,912,0,0.54,89,25.7,7.9,9.26,70,0.07,0.72,0.15,0.02,0.01,0.087,0.115,0.248,0.131,0.173,0.484,0
4,California,346893.096,17509.64666,26038.34439,6192.795904,6614.348194,5.21,12,1.02,37.5,330709.6063,6746.156794,0.0084004509,0.0001713610909,29.1,29.8,23.1,9,39368078,248306998838,1463,0,-0.62,83,36.9,12.2,12.19,49,0.39,0.37,0.06,0.14,0,0.092,0.137,0.263,0.123,0.149,0.494,1
5,Colorado,38283.88491,4622.791422,6062.852837,844.5182058,951.3470713,0.04,1,1.16,17.9,40296.00405,1420.161943,0.006938352914,0.0002445300717,9.5,4.9,5.4,8.4,5807719,32935062020,1238,0,-0.69,81,43.5,14.6,11.15,47,0.22,0.68,0.04,0.03,0.01,0.089,0.141,0.265,0.126,0.148,0.501,1
6,Connecticut,21992.96073,2473.411977,2404.257254,519.3253102,679.9421135,-0.07,6,1.06,26.4,41339.58607,3416.922131,0.01162201752,0.0009606174775,18,12.2,17.3,8,3557006,22298094783,1404,0,-0.07,88,44.6,17,11.41,43,0.16,0.67,0.1,0.05,0,0.086,0.113,0.259,0.148,0.177,0.487,1
7,Delaware,6891.110586,759.4600526,672.8099864,104.1474649,150.4835065,-0.22,6,0.98,27.7,12269.44398,422.2904564,0.01243345367,0.0004279353517,19.3,11.5,18.6,5.3,986809,5057580594,1159,1,0.32,87,31.7,12.9,11.01,52,0.09,0.62,0.22,0.04,0,0.081,0.118,0.242,0.144,0.197,0.482,1
10,Hawaii,7384.256261,808.8252504,857.0897626,172.191477,196.684982,-0.5,18,1.24,38.4,4515.768293,54.38617886,0.003209487588,3.87E-05,30,32.2,42.8,9.3,1407006,5424577891,1038,0,-0.71,85,35.3,10.8,11.09,47,0.11,0.22,0.02,0.37,0,0.072,0.116,0.255,0.132,0.197,0.488,1
11,Indiana,25201.03594,3180.748842,3893.649416,1002.473289,532.949743,-0.37,-9,0.99,-11.3,63938.89837,2352.605691,0.009465483827,0.0003482786173,-11.3,-19,-10.2,4.3,6754953,29447692085,959,0,0.51,88,31.5,9.2,10.41,54,0.07,0.79,0.09,0.02,0,0.091,0.118,0.25,0.134,0.161,0.49,0
12,Iowa,15353.65524,2141.396991,2382.624382,441.2803657,364.4442932,-0.45,-3,1.17,-2,43000.76639,748.795082,0.01359252007,0.0002366937391,-2,-9.5,5.8,3.1,3163561,14879557341,964,0,0.05,91,35.4,9,9.59,55,0.06,0.86,0.03,0.03,0,0.089,0.114,0.243,0.136,0.174,0.495,0
